(de) tempo parcial	envolvendo menos do que o tempo normal ou habitual para uma atividade
receita médica	instruções escritas de um médico ou dentista para um farmacêutico, relativamente à forma e dosagem de um medicamento para um determinado paciente
recenseamento	uma contagem periódica da população
recentemente	mais recentemente
recepcionar	cumprimentar à chegada
recepcionista	um secretário, cujo principal dever é atender o telefone e receber visitantes
recepção	uma saudação ou recepção
recesso da costa	uma extensao de um braco de agua, usualmente entre promontórios
recessão	um estado econômico de longo prazo caracterizado pelo desemprego e os baixos preços e os baixos níveis de comércio e investimento
rechecar	verificar mais de uma vez para ter certeza absoluta
recheio de peru	recheio de peru
reciclar	usar novamente, depois de algum processo
recitar	repetir em voz alta a partir da memória; "ela recitou um poema"; "O aluno recitou sua lição do dia"
reclamar	incomodar persistentemente com queixas triviais
reclassificar	remover a restrição e disponibilizar novamente
reclinar	fazer reclinar
recluso	aquele que vive na solidão
recolhedor	uma pessoa que é empregada para coletar pagamentos (quanto a aluguel ou impostos)
recolher	reunir ou fazer com que fique junto
recomendar	incitar a algo; "O agente de viagens recomendou fortemente que não viajássemos no Dia de Ação de Graças"
recomeçar	começar de novo
recompor	acalmar (alguém, especialmente a si mesmo); fazer-se tranquilo
recompor-se	recuperar suas boas maneiras após um lapso, ou parar de se comportar mal
reconciliar	trazer em consonância ou acordo
reconhecer	observar ser o mesmo
reconquistar	obter ou encontrar de volta
reconstruir	refazer, a partir de (parte de) uma casa
reconstrução	uma nova construção
recontar	narrar ou dar um relato detalhado sobre; "conte o que aconteceu"; "O pai narrou uma história para seu filho"
recordar	recordar conhecimento da memória; ter uma lembrança
recordar-se	recordar conhecimento da memória; ter uma lembrança
recorde	o número de vitórias contra perdas e empates uma equipe teve
recorde mundial	O melhor recorde no mundo inteiro
recorrentemente	de forma recorrente
recorrer	acontecer ou ocorrer novamente
recorrível	susceptível de recurso especial para uma instância superior
recrear	se envolver em atividades recreativas, ao invés de trabalho; ocupar-se em uma diversão
recreaçao	uma atividade que fascina, diverte ou estimula
recriar	fazer uma réplica de
recriminar	expressar críticas sobre
recrudescer	acontecer
recruta	Um recruta militar que é designado tarefas humilhantes
recrutador	alguém que fornece sócios ou empregados
recrutamento	o ato de obter recrutas; registrando pessoas para o exército (ou para um emprego ou uma causa etc.)
recrutar	alistar no serviço militar
recuar	andar para trás ou se distanciar ou retroceder
recuperar	sair de uma doença ou choque; "o paciente esta se recuperando"
recuperação	o ato de recuperar ou salvar algo perdido (ou a perigo de se perder)
recurso	(Lei) um processo judicial em que os peticionários recorrem a um tribunal superior com o objetivo de obter a revisão de uma decisão de primeira instância ou uma reversão da decisão do tribunal de primeira instância ou a concessão de um novo julgamento
recurso natural	recursos (reais e potenciais) fornecidos pela natureza
recurso natural renovável	qualquer dos recursos naturais (como madeira ou de energia solar) que pode ser reabastecido, naturalmente, com o passar do tempo
recursos	qualquer coisa de valor material ou utilidade que é de propriedade de uma pessoa ou empresa
recursos naturais	recursos (reais e potenciais) fornecidos pela natureza
recursos renováveis	qualquer dos recursos naturais (como madeira ou de energia solar) que pode ser reabastecido, naturalmente, com o passar do tempo
recusar	desafiar ou exceptuar a um juiz como sendo incompetente ou interessado, na canon e direito civil
recusar a aceitar	recusar-se a aceitar ou a acreditar
recém-casado	alguém que se casou recentemente
recôndito	As palestras do professor eram tão abstrusas que os alunos tendiam a evitá-las
rede	(Radiodifusão) um sistema de comunicação que consiste de um grupo de estações de radiodifusão que transmitem todas os mesmos programas
rede de pesca	uma rede que envolve o peixe quando ele é pescado
redemoinhar	fluir em uma corrente circular, diz-se de líquidos
redesignar	transferir alguém para uma posição ou local de trabalho diferente
redigir	preparar para publicação ou apresentação, corrigindo, revisando, ou adaptando
redimir	pedir perdao
redizer	dizer, declarar ou fazer novamente;
redobrar	duplicar em magnitude, extensão, ou intensidade
redundar	resultar ou terminar de uma maneira especifica, num estado especifico
reduzir	reduzir a pressão ou intensidade
redução	o ato de diminuir ou reduzir algo
reemitir	emitir uma nova versão de algo
reencadernar	fornecer uma nova capa
reencarnar	nascer de novo em outro corpo após a morte
reencenar	representar ou executar como se estivesse em um jogo
reencher	preencher algo que já havia sido esvaziado
reentrante	(de ângulos) apontando para dentro
reequipagem	o ato de adicionar um componente ou acessório para algo que não tinha quando foi fabricado
reequipamento	o ato de adicionar um componente ou acessório para algo que não tinha quando foi fabricado
reescrever	reescrever para um propósito novo ou diferente
reestocar	estocar novamente
reexaminar	verificar mais de uma vez para ter certeza absoluta
refazer	refazer, a partir de (parte de) uma casa
refeição	qualquer uma das ocasiões para comer alimentos que ocorrem por costume ou hábito em horários fixos, mais ou menos
referencial	Um padrão pelo qual algo pode ser medido ou julgado
referendar	dar provas de
referir	ter em mente, se referir a
refiliar	juntar se novamente a algo, alguem
refinar	melhorar ou aperfeiçoar pela poda ou polimento
reflectir fortemente	reflectir fortemente
reflector	causando a reflexão ou tendo um dispositivo que reflete
refletir	usar ou exercitar a mente ou o poder do raciocínio, a fim de fazer inferência, tomar decisões ou chegar a soluções ou julgamentos
refletir fortemente	reflectir fortemente
reflexivamente	de forma reflexiva
refogar	Cozinhar em líquido
reforma	mudança para melhor como resulatdo da correção de abusos; "a justica era vendida antes da reforma das cortes de leis"
reformar	refazer, a partir de (parte de) uma casa
reforçar	tornar mais forte
refrasear	mudar uma palavra ou frase em particular
refrear	recusar-se a iniciar apostas
refrear-se	recusar-se a iniciar apostas
refrescar	perder calor
refrigerante	Na Nova Inglaterra, eles chamam os refrigerantes de tônicos
refrigerar	tornar fresco ou mais fresco
refulgir	ser distinto ou eminente
refulgência	a qualidade de ser brilhante e enviar raios de luz
refutabilidade	responsabilidade por alguém, ou por alguma atividade
refutar	provar ser falsa
refúgio	algo ou alguém que serve de assistência ou de segurança
regalar	tratar bem, oferecendo vinho e jantar
reganhar	obter ou encontrar de volta
regar	abastecer com água, como acontece com canais ou valas ou córregos
regata	uma camiseta apertada, sem mangas, com alças largas e decote raso e sem abertura frontal; muitas vezes, usada sobre uma camiseta ou blusa
regenerar	trazer, levar ou forçar a abandonar um curso errado ou mal de vida, e adotar um certo
regeneração	formar novamente (especialmente com melhorias ou remoção de defeitos); renovação e reconstituição
reger	conduzir, como no desempenho de uma composição
registar	fazer um registro de algo; gravar de forma permanente
registrar	entrar na consciência de alguém
registro	o ato de se inscrever
região	Uma parte de um animal que tem uma função especial ou é alimentada por uma determinada artéria ou nervo
região administrativa	um distrito em que uma cidade ou vila é dividida para fins de administração e eleições
regra	(Matemática) um procedimento padrão para resolver uma classe de problemas matemáticos
regressar	voltar em pensamento ou fala para algo
regressivo	opondo-se ao progresso; retornando a um estado anterior menos avançado
regresso	uma vinda ou regresso para casa, "no seu regresso da Austrália, demos-lhe uma festa de boas-vindas"
regulamentar	pôr em conformidade com as regras ou princípios ou uso; impor regulamentos
regular	(usado das forças armadas) pertencentes ou envolvidos com o Exército legítimo
regularizar	tornar regular ou mais regular; "regularize a batida cardiaca com um marca-passo"
regularmente	tendo uma forma regular
regulação	o ato de ajustar alguma coisa para corresponder a um padrão
regência	o período de tempo durante o qual um Regente governa
reimposição	imposição de novo
reimprimir	imprimir de novo
reinado	período durante o qual um monarca é soberano
reincidir	acontecer ou ocorrer novamente
reingressar	juntar se novamente a algo, alguem
reino	período durante o qual um monarca é soberano
reinterpretar	atribuir um significado novo ou diferente para
reinvindicar	afirmar categoricamente
reiterar	dizer, declarar ou fazer novamente;
reitor	O oficial administrativo chefe de uma faculdade ou universidade
reivindicar	reivindicar ideias
rejeitar	se recusar a aceitar ou reconhecer
rejeição	o ato de rejeitar algo; "as propostas dele foram recebidas com rejeição"
rejubilar	expressar grande alegria
rejulgar	ouvir ou tentar um processo judicial de novo
relacionar	fazer uma conexão lógica ou causal
relançar	disponibilizar (informações) para publicação
relatar	dar um relato ou representar em palavras; "polícia italiana prudentemente descreveu de uma forma tipicamente continental"
relativizar	considerar ou tratar como relativo
relato	o ato de informar através de um relatório verbal
relatório	um ensaio (especialmente um escrito como um dever de casa)
relaxamento	um sentimento de tranquilidade e uma ausência de tensão ou preocupação
relaxante	Liberando do medo e de ansiedade
relaxar	causar a sentir-se relaxado
relação	uma abstração que corresponde ou relaciona características de duas entidades ou partes
relação social	uma relação entre organismos vivos (principalmente entre pessoas)
relações	(geralmente plural) mútuas relações ou conexões entre pessoas ou grupos
relegar	atribuir a uma posição inferior; reduzir no rank
relembrar	recapturar o passado; trazer à memória
reles	de baixa qualidade ou sofisticação
relevo oceânico	O fundo do mar ou oceano
religiosamente	por um senso de dever; de forma obediente
relinchar	fazer um som característico, de um cavalo
relocar	se estabelecer em um novo local
relutar	resistir ou confrontar com resistência
reluzente	que reflete a luz
reluzir	emitir uma breve explosão de luz
relvado	abundante em grama
remanejar	transferir alguém para uma posição ou local de trabalho diferente
remendar	Consertar colocando um remendo; "remendar um buraco".
remeter	causar ou fazer com que algo seja dirigido ou transmitido para outro lugar;
remo	o ato de remar como esporte
remodelar	refazer, a partir de (parte de) uma casa
remoer	Pensar ansiosamente e incessantemente sobre algo
remontar	fornecer cavalos frescos
remover	remover algo concreto, levantando, empurrando, tirando, ou remover algo abstrato
remédio	(medicina) algo que trata ou impede ou minimiza os sintomas da doença
rena	Veado do Ártico com grandes chifres em ambos os sexos; chamados de 'renas' na Eurásia e de 'caribou' na América do Norte
renascer	dar nova vida ou energia para
renda	(Contabilidade) os rendimentos recebidos, mas ainda não ganhos (geralmente considerados um passivo atual no balanço de uma empresa)
rendimento	produção de uma certa quantia
rendição	o ato de render-se (normalmente sob condições estipuladas);"eles estavam protegidos ate a capitulação do forte"
renegado	uma pessoa desleal que trai ou abandona sua religião ou partido político, causa ou amigo etc
renegar	evitar e ficar longe de alguma coisa, deliberadamente; manter-se afastado de
renomado	amplamente conhecido e estimado
renovar	adicionar peças, dispositivos ou equipamentos que não estavam disponíveis ou em uso no momento da fabricação inicial
renovável	Que pode ser renovado ou estendido
rentabilizar	fazer um lucro; ganhar dinheiro de algo
renunciar	abandonar
renúncia	uma renúncia formal de poderes
reordenar	refazer uma ordem ou comanda
reorganizar	reorganizar e atribuir cargos para pessoas diferentes
reorientação	o ato de mudar a direção em que algo é orientado
reouvir	ouvir ou tentar um processo judicial de novo
repagar	fazer o pagamento de ou retornar algo
repaginar	apresentar ou usar de novo, sem ou com poucas mudanças
reparar	Restaurar, substituindo uma parte ou consertando o que estava quebrado ou rasgado; "ela consertou a televisão"; "Conserte os meus sapatos, por favor"
reparação	O ato de colocar alguma coisa em ordem de novo
reparo	O ato de colocar alguma coisa em ordem de novo
repartição	o ato de distribuir pela atribuição ou repartição; distribuição de acordo com um plano; "a repartição dos assentos na Câmara dos Representantes é com base na população relativa de cada estado "
repetir	acontecer ou ocorrer novamente
repintar	pintar novamente
replantar	Colocar num pote novo, geralmente maior.
replicar	falar em resposta
repolhos-de-bruxelas	os pequenos brotos comestíveis que parecem com repolho e que crescem ao longo de uma haste da planta de uma couve de Bruxelas
reportar	apresentar a presença de alguém; "Eu reporto para o trabalho todos os dias às nove horas"
reporte	o ato de informar através de um relatório verbal
repousar	estar repousando
repreender	censurar severamente ou com raiva
representante	uma pessoa que defende uma causa ou propoe uma idéia
representar	trazer e apresentar para a mente
representação	o desempenho de uma peça ou papel em um drama
representação mental	Uma apresentação mental na forma de uma ideia ou imagem
reprimendar	censurar severamente ou com raiva
reprimir	derrubar pela força ou autoridade
reprisar	transmitir outra vez, usado para filmes, programas de tv, etc
reprocessar	usar novamente, depois de algum processo
reproduzir	ter filhos ou produzir mais indivíduos de um determinado animal ou planta; "a bíblia diz para as pessoas procriarem"
reprovadoramente	de forma reprovadora ou acusatoria
reprovar	censurar severamente ou com raiva
reprovação	O ato de desaprovação ou condenação
republicar	reativar um testamento cancelado ou uma ação de difamação
repudiar	abandonar
repugnante	ofensivo para a mente
repugnar	causar aversão; ofender o senso moral de
repulsar	causar aversão; ofender o senso moral de
repulsivo	ofensivo para a mente
reputar	observar ou considerar
reputação	a estimativa geral que o público tem de uma pessoa
república	uma forma de governo, cujo chefe de Estado não é um monarca
requebrar	mover ou andar de uma forma oscilante ou balançando
requentar	apresentar ou usar de novo, sem ou com poucas mudanças
requerer	expressar a necessidade ou desejo de; pedir
requisitar	expressar a necessidade ou desejo de; pedir
requisição	O ato de exigir; um pedido ou demanda autorizada, especialmente por uma autoridade militar ou pública que leva algo mais (geralmente temporariamente) para uso militar ou público
rescindir	cancelar oficialmente
reserva	A característica de ser pouco comunicativo; não oferecendo nada mais do que o necessário
reservado	Não inclinado a falar ou dar informações ou expressar opiniões
reservar	organizar para uma apresentação
resfriar	perder calor
resgatar	Remover (uma mercadoria) de (uma fonte de fornecimento)
residente	Um médico (especialmente um estagiário) que vive em um hospital e cuida de pacientes hospitalizados sob a supervisão da equipe médica do hospital
residir	se originar em
resignar	aceitar como inevitável
resignar-se	aceitar como inevitável
resistente	resistentes à destruição ou desbotamento
resistir	combater ou resistir fortemente
resistência	fazer algo de forma a se opor a uma outra forma, forma essa que você não gosta; "o estilo dele de pintura era uma reação contra o cubismo"
resmungar	falar indistintamente; geralmente em voz baixa
resolução	o ato de se decidir sobre alguma coisa;"o peso da decisão era dele"; "ele tomou suas decisões rapidamente"
resolver	chegar a um acordo
resolvivel	capaz de ser resolvido
resolúvel	capaz de ser resolvido
respaldar	dar suporte ou aprovação a
respeitar	respeitar muito; considerar muito bem
respeito	Tenho que dar o meu respeito ao governador pela maneira como ele lidou com o problema
respigar	coletar, a partir de produtos naturais; "colha das uvas"
respirar fundo	preparar-se para algo difícil ou desagradável
respiração	o processo corporal de inalação e exalação, o processo de tomada de oxigênio do ar inspirado e liberando dióxido de carbono por exalação
respiração de Cheyne-Stokes	Respiração anormal em que períodos de respiração superficial e profunda se alternam
resplandecer	ser resplandecente ou radiante;
responder	responder a um sinal
responder mal-educadamente	proferir em um tom irritado, afiado, abrupto
responsabilidade	a força social liga as pessoas aos cursos de ação demandadas por essa força; "nós temos que introduzir um senso de dever em nossas crianças"; "todo dever implica uma responsabilidade; toda oportunidade, uma obrigação; toda possessão, um dever (John D.Rockefeller Jr)"
responsabilizar	culpar por, fazer uma reclamação de delito ou má conduta contra
resposta	um processo corporal que ocorre devido ao efeito de algum estímulo antecedente ou agente; "uma reação ruim ao medicamento", "suas respostas tem abrandado com a idade"
resposta evasiva	(direito) uma resposta de um réu que não admiti nem nega as alegações constantes da denúncia
ressecar	causa de murchar e ressecar por exposição ao calor; "O sol ressecou a terra"
ressentidamente	com ressentimento; de uma forma ressentida
ressentir	guardar rancor; abrigar maus sentimentos
ressoar	fazer um determinado ruído ou som
ressuscitar	causar a recuperacao da consciência em alguem
restabelecer	trazer de volta ao original existência, uso, função ou posição
restaurador	um trabalhador qualificado que é empregado para restaurar ou repintar edifícios ou móveis antigos
restaurante	Um local onde as pessoas vão para comer
restaurar	trazer de volta ao original existência, uso, função ou posição
restituição	receber algo de volta de novo; "depois que o livro foi retornado ao seu dono verdadeiro, a crianca levou uma bronca seria"
resto	qualquer objeto que restou não utilizado ou ainda existente
restorar	trazer de volta ao original existência, uso, função ou posição
restringir	estabelecer limites em (alcance ou acesso); "vamos restringir o uso desse estacionamento"; "Limite o tempo que voce pode gastar com seus amigos"
restrição	ato de limitar ou restringir (por regulação)
resultar	ser encontrado como tal
resumir	reduzir em âmbito mantendo os elementos essenciais; "O manuscrito precisa ser condensado"
resumo	uma breve descrição que apresenta os pontos principais de uma forma concisa
resvalar	mover-se obliquamente ou lateralmente, usualmente de forma descontrolada; "as rodas escorregavam da calçada"
retaguarda	um destacamento designado para proteger a retaguarda de um exército
retalhadamente	em retalhos ou pedacos
retalhar	tratar cruelmente
retardar	o ato de atrasar; inatividade resultando em algo que está sendo adiado para um momento posterior
retardação	a quantidade em que algo está atrasado ou retido
reter	manter na mente
reticência	A característica de ser pouco comunicativo; não oferecendo nada mais do que o necessário
retificar	converter em corrente contínua
retificação	o ato de oferecer uma melhoria para substituir um erro; endireitar
retirar	remover algo concreto, levantando, empurrando, tirando, ou remover algo abstrato
retirar se	perder o interesse
reto	livre de curvas ou ângulos
retomar	começar ou começar de novo
retor	uma pessoa que faz um discurso ou oração
retorcer	dar a forma de trancas
retornar	responder
retorno	uma vinda ou regresso para casa, "no seu regresso da Austrália, demos-lhe uma festa de boas-vindas"
retorquir	responder
retortar	responder
retrair	mover para trás
retransmitir	transmitir novamente
retratar	assumir o caráter de alguém ou agir como alguém
retratar-se	formalmente rejeitar ou negar uma opinião anteriormente mantida, normalmente sob pressão
retrato	representação visual como pela fotografia ou pintura
retraçar	remontar mentalmente
retreinar	treinar novamente
retribuição	uma ação recíproca de um grupo; "em retribuição nós demos a eles o melhor que tinhamos"
retriever	um cão com pelo pesado, resistente à água, que pode ser treinado para recuperar a caca
retroceder	andar para trás ou se distanciar ou retroceder
retrogradar	mover para trás
retrospectivo	Preocupado com ou relacionado ao passado
retrucar	reagir verbalmente
reunificar	unificar novamente, diz-se de um país
reunir	colocar junto ou adicionar; "combinar recursos"
reunião	o ato de reunir coisas
reusar	usar novamente, depois de algum processo
reutilizar	usar novamente, depois de algum processo
revalidar	estabelecer ou fortalecer com novas provas ou fatos
revalorizar	valorizar de novo
revelar	fazer públicas informações que antes eram conhecidas apenas por poucas pessoas ou que deveriam ser mantidas em segredo
revendedor	alguém que comercializa mercadorias
revender	vender novamente depois de ter acabado de comprar algo
reverberar	manifestar ou trazer de volta
reverenciar	considerar sagrado ou sublime
reverificar	verificar mais de uma vez para ter certeza absoluta
reverso	Achamos que a Sue era mais velha do que o Bill mas o contrário é verdade
reversão	uma mudança de um estado para um estado oposto; "existiu uma reversão de uma função autonomica"
reverter	mudar para o contrário, reverter, virar;
reverência	um sentimento de profundo respeito por alguém ou algo
revestir	botar um revestimento em algo; cobrir uma superfície; cobrir com uma superfície; "revestir o bolo com chocolate"
revirar	procurar (como se no fundo de um corpo de água) por alguma coisa valiosa ou perdida
reviravolta	uma grande mudança de atitude ou princípio ou ponto de vista; "uma reviravolta em politica externa"
revisor	alguém que lê manuscritos e julga a sua adequação para publicação
revistar	sujeitar a uma busca
revisão	um exame subseqüente de um paciente com a finalidade de monitorar o tratamento mais cedo
reviver	dar nova vida ou energia para
revogar	cancelar oficialmente
revogação	um julgamento de um tribunal superior que o julgamento do tribunal inferior estava incorreta e deveria ser anulado
revolta	A oposição organizada à autoridade; um conflito no qual uma facção tenta tirar o controle de outra
revoltar	causar aversão; ofender o senso moral de
revolver	causar a mover girando sobre ou em uma forma circular de como se sobre um eixo
rezador	alguém que reza a Deus
rezar	abordar uma divindade, um profeta, um santo ou um objeto de adoração
ribalta	luzes na frente de um palco que iluminam o conjunto de atores de teatro
rico	Pessoas que têm posses e riqueza (consideradas como um grupo)
ricos	Pessoas que têm posses e riqueza (consideradas como um grupo)
ricota	queijo italiano macio como o queijo cottage
ridicularizar	sujeitar ao riso ou escárnio
rifar	se desfazer de, usando um sorteio
rigidamente	sem graça; rigidamente
rimar	compor rimas
ringue	uma plataforma geralmente marcada por cordas em que concorrentes lutam box
rinoceronte	enorme e poderoso herbívoro ungulado do sudeste da Ásia e África, que teem a pele muito grossa e um ou dois chifres no focinho
rio Mekong	um rio asiático; flui através de um grande delta no Vietnã do Sul para o mar do sul da China
rio Níger	um rio africano que deságua no Atlântico Sul
rio Paraná	um rio sul-americano; afluente do Rio de la Plata
rio Yangtzé	flui para o leste do Tibete ate chegar no mar da China Oriental, perto de Shanghai
ripostar	responder
rir	produzir riso
riscar	produzir ignição ou um golpe
risco	um risco empreendido sem levar em conta possíveis perdas ou danos
ritmar	regular ou definir o ritmo de
rito	qualquer costume ou prática habitual
ritual	qualquer costume ou prática habitual
rival	o competidor que você espera derrotar
robótica	A área de AI preocupada com o uso prático de robôs
robô	Um mecanismo que pode mover-se automaticamente
rocha	uma massa de matéria mineral consolidada e dura
rocha metamórfica	rocha alterada por pressão e calor
rocha sedimentar	rocha formada a partir de sedimentos argilosos consolidados
rock	um gênero de música popular originário da década de 1950;
rock 'n' roll	um gênero de música popular originário da década de 1950;
rock and roll	um gênero de música popular originário da década de 1950;
rodada	(geralmente plural) uma série de visitas profissionais (geralmente em uma ordem configurada)
rodar	plantar numa ordem fixa cíclica de sucessão
rodeio	uma exposição de habilidades de cowboy
rodesiano	relativo ao antigo país da Rodésia (agora Zimbabwe)
rodovia	Um caminho aberto (geralmente público) para viagens ou transporte
rolamento	o ato de rolar alguma coisa (como a bola de boliche)
rolar	executar cambalhotas
roldana	uma máquina simples, consistindo de uma roda com um sulco em que uma corda corre que pode mudar a direção ou ponto de aplicação de uma força aplicada à corda
rolo de tabaco	folhas de tabaco que tenham sido feitas em um cilindro
romaico	relativo a Grécia moderna ou os seus habitantes ou a sua linguagem
romanista	relacionado com, ou apoiando o catolicismo
romanizar	escrever em alfabeto latino
romano	de ou relativo a ou derivado de Roma (Roma especialmente antiga)
romanticamente	de uma forma romântica
romantizar	agir de uma maneira romântica
romena	relacionado com ou característico do país da Roménia ou de suas pessoas e línguas
romeno	relacionado com ou característico do país da Roménia ou de suas pessoas e línguas
romper	causar a separação de algo em pedaços ou fragmentos
rompimento	o ato de quebrar algo
românica	As línguas românicas (também designadas por línguas latinas, línguas neo-latinas, línguas novilatinas, romances ou romanços) são um grupo de idiomas proveniente da família mais vasta das línguas indo-europeias, que se originaram a partir da evolução do latim (especificamente, do latim vulgar falado pelas classes populares).
ronco	O ruído de vibração produzido quando uma pessoa ronca
ronda	(geralmente plural) uma série de visitas profissionais (geralmente em uma ordem configurada)
rondar	estar por perto
rorqual	qualquer um dos maiores mamíferos cetáceos que teem um corpo aerodinâmico e respiram através de uma buraco na cabeça
rosa	um cor-de-rosa envelhecido
rosar	ficar vermelho, como se estivesse embaraçado ou com vergonha; "a menina corou quando um rapaz assobiou quanda ela passou"
rosear	fazer rosa
rosnar	proferir em um tom irritado, afiado, abrupto
rosquear	apertar ou prender por meio de movimentos que aparafusam
rosto	a frente da cabeça humana, da testa ao queixo e de orelha à orelha
rotação	o ato de girar, como se tivesse um eixo
roteirista	alguém que escreve roteiros
roteirizado	Escrito para um filme ou uma peca ou um programa de televisão
rotina	Uma performance teatral curta que faz parte de um programa maior.
rotineiramente	de acordo com a rotina ou com a prática estabelecida
rotineiro	marcado por acontecimentos não marcantes ou significativos
rotular	pronunciar julgamento sobre alguma coisa
roubar	roubar uma base em baseball
roubo	ato de tomar algo de alguém ilegalmente
roupa	o traje característico de um país ou de uma época ou de uma classe social
roupa de baixo	roupa de baixo usada por mulheres
roupa de banho	Roupa de ajuste apertado usada para nadar
roupa de correr	Um casaco e calças combinantes, usados por corredores e feitos de tecido que absorva a transpiração
roupa de ginastica	Traje usado para esporte ou para uso informal
roupa de neve	uma de crianca roupa que se coloca sobre todas as outras, para o frio,
roupa suja	roupas ou produtos de cama e mesa que podem ser limpos por lavagem
roçar	tocar levemente e brevemente; "Ele roçou levemente na parede"
rua	uma estrada (especialmente a parte da estrada) sobre o qual os veículos viajam
ruandês	de ou pertencente a Ruanda
rubificar	fazer vermelho rubi
ruborizar	ficar vermelho, como se estivesse embaraçado ou com vergonha; "a menina corou quando um rapaz assobiou quanda ela passou"
rubra	cor ou pigmento vermelho; a cor cromática que lembra a tonalidade do sangue
rubro	cor ou pigmento vermelho; a cor cromática que lembra a tonalidade do sangue
rudimentos	os estágios elementares de qualquer assunto (geralmente no plural)
rugir	fazer um barulho alto, como de vento, água ou veículos; "O vento estava rugindo nas árvores"; "A água rugiu pela calha"
ruim	(De alimentos) não em uma condição de consumo ou utilizável
ruir	quebrar, literalmente ou metaforicamente
ruivo	assemelhando-se a cor laranja da cenoura
ruminador	Uma pessoa reflexiva caracterizado por pensar em silêncio
ruminar	refletir profundamente sobre um assunto
ruritânio	de ou relativo a ou característico da Ruritania (ou qualquer outro país imaginário)
russo	de ou relativo ou característico da Rússia e seu povo, cultura ou língua
rusticar	viver no campo e levar uma vida rústica
rápido	A banda tocou um fox trot rápido
rã	qualquer um dos vários anfíbios de corpo robusto sem cauda com membros posteriores longos para saltar; espécies semiaquáticas e terrestres
récorde	uma realização extrema; o melhor (ou pior) desempenhos já atingidos (em um esporte); "ele empatou com o récorde olimpico";
saariano	relacionada a ou localizado no deserto do Saara
saber	estar cientes ou conhecer um fato ou uma parte específica de informação
sabinos	Os sabinos (sabini, em latim) constituíam uma tribo da região central da Península Itálica. Sua língua pertencia a um sub-grupo das línguas itálicas que incluía o osco e o úmbrio.
saborear	perceber pelo sentido do gosto
sabotar	destruir propriedades ou dificultar as operações normais
sabão em pó	sabão que foi cortado em flocos para fazer espuma mais rápido
sacanagem	um ato ridículo ou grotesco feito por diversão e entreternimento
sacanear	assediar com críticas persistentes
sacar	tirar de algum lugar
saco	Uma das duas glândulas reprodutivas dos homens, que produzem espermatozóides e secretam hormonios
sacolejo	causa de mover repetidamente de lado a lado
sacramento	uma cerimônia religiosa formal que confere uma graça específica sobre aqueles que a recebem; as duas cerimônias protestantes são o Batismo e a Eucaristia; na Igreja Católica Romana e a Igreja Ortodoxa Oriental há sete ritos tradicionais aceitos como instituídos por Jesus: Batismo, Confirmação (ou Crisma), Eucaristia, Reconciliação (ou Penitência), Unção dos enfermos, Ordem e Matrimônio.
sacrifício	uma perda acarretada por dar ou vender alguma coisa por menos do que o seu devido valor
sacudir	mover com ou como se tivesse um tremor; "sua mão tremia"
sagrar	nomear para um posto clerical
sair	ir embora ou partir
sair com	sair regularmente; ter um relacionamento estável com
sair fora	admitir a derrota
sala	uma área dentro de um edifício cercada por paredes e piso e teto
sala de aula	uma sala em uma escola onde as aulas ocorrem
sala de cinema	um teatro onde são mostrados filmes
sala de jogos	Uma sala de recreação para atividades barulhentas (festas e brincadeiras de crianças)
salarial	recebendo um salário
saliente	estendendo-se acima ou além de uma superfície ou de um limite
salina	uma fabrica onde o sal é produzido comercialmente
salobra	ligeiramente salgada (especialmente por conter uma mistura de água do mar e água doce)
salomônico	Exibindo ou exigindo a sabedoria de Salomão em tomar decisões difíceis
salpicar	distribuir descuidadosamente, salpicar
salsicha	uma salsicha de textura fina de carne de vaca ou de porco picada geralmente defumada; muitas vezes servido em um pão
saltar	Avançar por saltos e pulos
saltar de paraquedas	saltar de um avião e descer com um paraquedas
salteador	um ladrão que rouba de alguém ameaçando violência
salto	o ato de pular; se impulsionar para cima; "ele avancou numa serie de saltos"; "o pulo foi inesperado"
salto alto	Um salto estreito muito alto em sapatos femininos
salvador	uma pessoa que resgata você de algum dano ou perigo
salvadorenho	relacionado com ou característico de El Salvador e seu povo
salvaguardar	vigiar ou protejer de perigo ou dano;
salvamento	recuperação ou preservação da perda ou do perigo; "trabalho é a salvação do homem"; "o trabalho de um cirurgião é salvar vidas"
salvar	registrar dados em um computador
salvatoriano	relacionado com ou característico de El Salvador e seu povo
salvação	recuperação ou preservação da perda ou do perigo; "trabalho é a salvação do homem"; "o trabalho de um cirurgião é salvar vidas"
salão	um grande edifício para reuniões ou entretenimento
salão de convenções	um grande edifício para reuniões ou entretenimento
salífero	contendo ou produzindo sal
samoano	relacionado a Samoa e seu povo ou língua ou cultura
san-marinense	relacionado a San Marino e seu povo
sancionar	dar sanção a
sandeu	gíria para mentalmente instável
sango	Sango (ou Sangho) é a língua mais usada na República Centro-Africana. É uma língua crioula baseado no Ngbandi em conjunto com muitas palavras Francesas. De um ponto de visto meramente estatístico, as palavras derivadas do francês são em maior quantidade – contudo, aquelas que provêm do Ngbandi são usadas mais frequentemente.
sanita	Um acessório encanado para defecar e urinar
sanitizar	fazer sanitário por limpeza ou esterilização
santificar	considerar sagrado
santificação	cerimônia religiosa na qual alguém se torna santo
santo	uma pessoa que morreu e foi declarada santa pela canonização
santuário	um lugar sagrado de peregrinação
